spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Menidia menidia,Atlantic Silverside,Sbrocco et al. 2011 Cons Gen Res 3:585-587,1,Canada,"Joggins, Nova Scotia",45.696348,,,-64.457143,,,,1,Mm240,0,20,2,0.79872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER27,0,30,4,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER44,0,30,2,0.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER61,0,30,2,0.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER92,0,30,2,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER159,0,30,4,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER243,0,30,4,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER263,0,30,2,0.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER358,0,30,4,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,Spotted eagle ray,Sellas et al. 2011 Cons Gen Res 3:609-611,1,USA,"Sarasota, FL",27.340665,,,-82.576786,,,,1,SER453,0,30,4,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
