spp,CommonName,Pelagic_Coastal,PC_Certainty,Genus,Family,Northernmost,Southernmost,Westernmost,Easternmost,Range_Total,Half_RangeSize,Centroid
Stenobrachius nannochir,Garnet lanternfish,Pelagic,,Stenobrachius,Myctophidae,66,22,139,-109,44,22,44
Stephanolepis cirrhifer,Threadsail filefish,Coastal,,Stephanolepis,Monacanthidae,32,23,#VALUE!,NA,9,4.5,27.5
Symphodus melops,Corkwing wrasse,Coastal,,Symphodus,Labridae,63,28,-32,25,35,17.5,45.5
Symphodus tinca,East Atlantic peacock wrasse,Coastal,,Symphodus,Labridae,47,21,-11,42,26,13,34
Syngnathus auliscus,Barred pipefish,Coastal,,Syngnathus,Syngnathidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Syngnathus floridae,Dusky pipefish,Coastal,,Syngnathus,Syngnathidae,40,8,#VALUE!,NA,32,16,24
Syngnathus leptorhynchus,Bay pipefish,Coastal,,Syngnathus,Syngnathidae,61,22,-150,-109,39,19.5,41.5
Syngnathus scovelli,Gulf pipefish,Coastal,,Syngnathus,Syngnathidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Syngnathus typhle,Broadnosed pipefish,Coastal,,Syngnathus,Syngnathidae,71,30,-11,42,41,20.5,50.5
Takifugu rubripes,Japanese pufferfish,Coastal,,Takifugu,Tetraodontidae,46,21,119,142,25,12.5,33.5
Thalassoma bifasciatum,Bluehead,Coastal,,Thalassoma,Labridae,33,8,-98,-59,25,12.5,20.5
Thamnaconus hypargyreus,Lesser-spotted leatherjacket,Coastal,,Thamnaconus,Monacanthidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Thamnaconus modestus,Black scraper,Coastal,,Thamnaconus,Monacanthidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Thamnaconus septentrionalis,Bluefin leatherjacket,Coastal,,Thamnaconus,Monacanthidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Thunnus alalunga,Albacore,Pelagic,,Thunnus,Scombridae,60,-50,-180,180,110,55,5
Thunnus albacares,Yellowfin tuna,Pelagic,,Thunnus,Scombridae,59,-48,-180,180,107,53.5,5.5
Thunnus obesus,Bigeye tuna,Pelagic,,Thunnus,Scombridae,52,-48,-180,180,100,50,2
Thunnus orientalis,Pacific bluefin tuna,Pelagic,,Thunnus,Scombridae,61,-52,99,-70,113,56.5,4.5
Thunnus thynnus,Atlantic bluefin tuna,Pelagic,,Thunnus,Scombridae,69,-58,-99,42,127,63.5,5.5
Torpedo marmorata,Marbled electric ray,Coastal,,Torpedo,Torpedinidae,60,-34,-19,36,94,47,13
Totoaba macdonaldi,Totoaba,Coastal,,Totoaba,Sciaenidae,32,17,#VALUE!,NA,15,7.5,24.5
Trachinops caudimaculatus,Southern hulafish,Coastal,,Trachinops,Plesiopidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Trachinotus carolinus,Florida pompano,Coastal,,Trachinotus,Carangidae,43,-38,-97,-35,81,40.5,2.5
Trachinotus falcatus,Permit,Coastal,,Trachinotus,Carangidae,42,-25,-100,-30,67,33.5,8.5
Trachinotus goodei,Great pompano,Coastal,,Trachinotus,Carangidae,43,-37,#VALUE!,NA,80,40,3
Trachurus japonicus,Japanese jack mackerel,Coastal,Maybe,Trachurus,Carangidae,46,29,129,148,17,8.5,37.5
Trachurus mediterraneus,Mediterraneus horse mackerel,Pelagic,,Trachurus,Carangidae,50,16,-20,43,34,17,33
Trachurus murphyi,Chilean jack mackerel,Pelagic,,Trachurus,Carangidae,2,-51,106,-79,53,26.5,-24.5
Trachurus picturatus,Blue jack mackerel,Coastal,,Trachurus,Carangidae,45,-41,-32,17,86,43,2
Trachurus trachurus,Atlantic horse mackerel,Coastal,,Trachurus,Carangidae,67,-19,-26,42,86,43,24
Trematomus bernacchii,Emerald rockcod,Coastal,,Trematomus,Nototheniidae,-61,-78,#VALUE!,NA,17,8.5,-69.5
Trematomus eulepidotus,Blunt scalyhead,Coastal,,Trematomus,Nototheniidae,-60,-78,#VALUE!,NA,18,9,-69
Trematomus hansoni,Striped rockcod,Coastal,,Trematomus,Nototheniidae,-53,-78,#VALUE!,NA,25,12.5,-65.5
Trematomus newnesi,Dusky rockcod,Coastal,,Trematomus,Nototheniidae,-60,-78,#VALUE!,NA,18,9,-69
Trematomus scotti,Crowned rockcod,Coastal,,Trematomus,Nototheniidae,-60,-78,#VALUE!,NA,18,9,-69
